experiment_id,phase,dataset_id,dataset_sha256,dataset_bytes,codec_kind,n_relations,n_independent,recovered_bits,total_encoded_bytes,payload_bits,relation_description_bits,header_bits,framing_bits,crc_bits,roundtrip_ok,encode_seconds,decode_seconds,discovery_seconds,best_baseline_bytes,deduction_gap_bytes,composition_gap_bytes,verdict,git_commit,utc_timestamp,seed,baseline_gzip9_bytes,baseline_gzip9_seconds,baseline_zlib9_bytes,baseline_zlib9_seconds,baseline_bz2_9_bytes,baseline_bz2_9_seconds,baseline_xz9_bytes,baseline_xz9_seconds,baseline_zstd19_bytes,baseline_zstd19_seconds,baseline_brotli11_bytes,baseline_brotli11_seconds
control_positive_gf2_n1280_k32_p32_s902,controls,gf2_n1280_k32_p32_s902,c78ca4eb1e539975d9aa8b76779a790da3ab91af027b14de14c2d22c1f4b97d6,10240,GF2,32,32,40960,5291,40960,1088,216,0,32,True,0.01092840000637807,0.0024893000081647187,0.01092840000637807,10244,4953,4949,raw_gap+4953 comp_gap+4949,1961135de7ad300747cd1be504d2b35cc2eaebc8-dirty,2026-08-29T14:12:55.993833+00:00,902,10263,0.0011326000094413757,10251,0.0003015999973285943,10710,0.004185799974948168,10300,0.04659309997805394,10250,0.0018032000225502998,10244,0.025538099987898022
control_positive_gf2_n4096_k32_p32_s12,controls,gf2_n4096_k32_p32_s12,ddf23fa518129c14d6cdb1fed067de7cbf5aec8e8d2e2d3d762d53dd271f1615,32768,GF2,32,32,131072,16555,131072,1088,216,0,32,True,0.014376299979630858,0.0060585000028368086,0.014376299979630858,32772,16217,16213,raw_gap+16217 comp_gap+16213,1961135de7ad300747cd1be504d2b35cc2eaebc8-dirty,2026-08-29T14:12:56.958547+00:00,12,32796,0.0007885999802965671,32784,0.0009383999858982861,33258,0.008031200006371364,32828,0.0695523000031244,32778,0.008742700010770932,32772,0.02895959999295883
control_positive_gf2_n8192_k48_p48_s777,controls,gf2_n8192_k48_p48_s777,89e0d8c75a499985ee5ca382ac6faeb9cbf74b9b3f3b2276ddef43a14324fd0c,98304,GF2,48,48,393216,49487,393216,2400,216,0,32,True,0.08213019999675453,0.032507300027646124,0.08213019999675453,98309,48822,48818,raw_gap+48822 comp_gap+48818,1961135de7ad300747cd1be504d2b35cc2eaebc8-dirty,2026-08-29T14:12:57.612127+00:00,777,98352,0.003020700009074062,98340,0.0035130000032950193,99108,0.013962899975012988,98368,0.0420406999764964,98316,0.015062799997394904,98309,0.05377939998288639
control_null_iid_bits,controls,iid_bits,07ef8ee9642204bf5345ca068ae82bd7bf9eb39e6c835083396842e73f9b320a,65536,PASSTHROUGH,0,524288,0,65554,524288,0,112,0,32,True,0.22883149998961017,0.03613970000878908,0.22883149998961017,65540,-14,-19,raw_gap-14 no_deduction header_perturbation-19,1961135de7ad300747cd1be504d2b35cc2eaebc8-dirty,2026-08-29T14:12:58.413760+00:00,,65574,0.0024741000088397413,65562,0.001710100012132898,66181,0.010056600003736094,65600,0.03347379999468103,65546,0.006875799997942522,65540,0.04372690001036972
control_null_shuffled_planted,controls,shuffled_planted,26242f13b53356f97d6517e1c9daa304d52383500e3a61ee025035c7c4599cbd,16384,PASSTHROUGH,0,131072,0,16402,131072,0,112,0,32,True,0.05158930001198314,0.014409499999601394,0.05158930001198314,16388,-14,-18,raw_gap-14 no_deduction header_perturbation-18,1961135de7ad300747cd1be504d2b35cc2eaebc8-dirty,2026-08-29T14:12:58.916620+00:00,,16407,0.00037369999336078763,16395,0.00027200000477023423,16869,0.003201999992597848,16444,0.02205820000381209,16394,0.00149049999890849,16388,0.052974299993366
control_null_near_relation_1flip,controls,near_relation_1flip,ac02159c631b4bc3e463a21f7dba494dcd6f3bef15b12b4ad3ad0b21c6a10c7e,8704,PASSTHROUGH,0,69632,0,8722,69632,0,112,0,32,True,0.0030310000001918525,0.00759620001190342,0.0030310000001918525,8708,-14,-18,raw_gap-14 no_deduction header_perturbation-18,1961135de7ad300747cd1be504d2b35cc2eaebc8-dirty,2026-08-29T14:12:59.298503+00:00,,8727,0.00034950001281686127,8715,0.00016830000095069408,9187,0.003039800008991733,8764,0.019804099982138723,8714,0.0008657000144012272,8708,0.022428800002671778
control_sweep_phi0,controls,corrupt_gf2_n4096_k32_p32_phi0_s433,86164b94fdbc398b84e51e3ca1ec3403505fa2bfbd1e1af62479f200b254f583,32768,GF2,32,32,131072,16555,131072,1088,216,0,32,True,0.15969940001377836,0.005916299996897578,0.15969940001377836,32772,16217,16213,raw_gap+16217 comp_gap+16213,1961135de7ad300747cd1be504d2b35cc2eaebc8-dirty,2026-08-29T14:12:59.909641+00:00,433,32796,0.0012138999882154167,32784,0.0009360999974887818,33259,0.006811700004618615,32828,0.02641709998715669,32778,0.0033909000048879534,32772,0.014198000018950552
control_sweep_phi0.0001,controls,corrupt_gf2_n4096_k32_p32_phi0.0001_s433,cfaedf20ea0897788941b2572a81db4694d756a65094e05cd9a740f4e24357c4,32768,GF2,53,75,108544,19748,153600,4103,216,1,32,True,0.176261099986732,0.013055699993856251,0.176261099986732,32772,13024,13238,raw_gap+13024 comp_gap+13238,1961135de7ad300747cd1be504d2b35cc2eaebc8-dirty,2026-08-29T14:13:00.544240+00:00,433,32796,0.001111400022637099,32784,0.0009706999990157783,33263,0.008278799999970943,32828,0.03405350001412444,32778,0.004686600004788488,32772,0.020059100002981722
control_sweep_phi0.001,controls,corrupt_gf2_n4096_k32_p32_phi0.001_s433,24af15505213725b1c43d47a4313e28115866daff2eaa3cb65e5e1915ec450da,32768,GF2,6,122,12288,31375,249856,860,216,4,32,True,0.1285695999977179,0.003938600013498217,0.1285695999977179,32772,1397,1402,raw_gap+1397 comp_gap+1402,1961135de7ad300747cd1be504d2b35cc2eaebc8-dirty,2026-08-29T14:13:01.082599+00:00,433,32796,0.0015346000145655125,32784,0.0006595999875571579,33266,0.005412799975601956,32828,0.03250510001089424,32778,0.0028830999799538404,32772,0.01618080001208
control_sweep_phi0.01,controls,corrupt_gf2_n4096_k32_p32_phi0.01_s433,f26e953f4393bcc0c992fce4f64df73edb90976e0b6ba27c3522295d350fd92c,32768,PASSTHROUGH,0,262144,0,32786,262144,0,112,0,32,True,0.12719410000136122,0.07691089998115785,0.12719410000136122,32772,-14,-18,raw_gap-14 no_deduction header_perturbation-18,1961135de7ad300747cd1be504d2b35cc2eaebc8-dirty,2026-08-29T14:13:01.885810+00:00,433,32796,0.0011911999899894,32784,0.0011755999876186252,33252,0.007364500022958964,32828,0.035860100004356354,32778,0.0036035999946761876,32772,0.1479121999873314
