experiment_id,phase,result_file,dataset_id,dataset_sha256,dataset_bytes,seed,git_commit,utc_timestamp,config,codec_kind,n_relations,n_independent,recovered_bits,container_bytes,payload_bits,relation_description_bits,header_bits,framing_bits,crc_bits,leftover_bits,metadata_bits_total,accounting_total_bits,accounting_ok,raw_best_bytes,composed_best_bytes,composition_gap_bytes,composition_gap_pct,composition_gap_matched_bytes,codec_sets_match,available_raw_codecs,available_composed_codecs,raw_gap_bytes,roundtrip_ok,composed_roundtrip_mode,composed_roundtrip_ok,composed_roundtrip_n_checked,verdict,package_versions,platform,baseline_gzip9,baseline_zlib9,baseline_bz2_9,baseline_xz9,baseline_zstd19,baseline_brotli11,composed_gzip9,composed_zlib9,composed_bz2_9,composed_xz9,composed_zstd19,composed_brotli11
control_nonaligned_period_w48,controls,results/controls/control_nonaligned_period_w48.json,nonaligned_period_w48_s71,90bf4c264f81709fef54c5479b9b212a06bad48b5a20b7b30b81aac0f9421508,36000,71,e7af4dfbb9549afb64aac80c10821e8143067d6f-dirty,2026-08-29T15:24:00.757158+00:00,"{""control"": ""scope_axis_aligned"", ""note"": ""structure is real at width 48/96; not among tried widths"", ""record_period_bits"": 48, ""tried_widths"": [8, 16, 32, 64, 128, 256]}",PASSTHROUGH,0,288000,0,36018,288000,0,112,0,32,0,144,288144,True,36004,36022,-18,-0.0004999444506165982,-18,True,"brotli11,bz2_9,gzip9,xz9,zlib9,zstd19","brotli11,bz2_9,gzip9,xz9,zlib9,zstd19",-14,True,full,True,6,raw_gap-14 no_deduction header_perturbation-18,"{""brotli"": ""1.2.0"", ""bz2"": ""stdlib"", ""gzip"": ""stdlib"", ""lzma"": ""stdlib"", ""numpy"": ""2.2.6"", ""python"": ""3.13.6"", ""zlib"": ""stdlib"", ""zstandard"": ""0.25.0""}",Windows-11-10.0.22631-SP0,36033,36021,36508,36060,36010,36004,36051,36039,36527,36080,36028,36022
control_null_iid_bits,controls,results/controls/control_null_iid_bits.json,iid_bits,07ef8ee9642204bf5345ca068ae82bd7bf9eb39e6c835083396842e73f9b320a,65536,,e7af4dfbb9549afb64aac80c10821e8143067d6f-dirty,2026-08-29T15:23:43.925607+00:00,"{""control"": ""null"", ""tag"": ""iid_bits""}",PASSTHROUGH,0,524288,0,65554,524288,0,112,0,32,0,144,524432,True,65540,65559,-19,-0.00028989929813854134,-19,True,"brotli11,bz2_9,gzip9,xz9,zlib9,zstd19","brotli11,bz2_9,gzip9,xz9,zlib9,zstd19",-14,True,full,True,6,raw_gap-14 no_deduction header_perturbation-19,"{""brotli"": ""1.2.0"", ""bz2"": ""stdlib"", ""gzip"": ""stdlib"", ""lzma"": ""stdlib"", ""numpy"": ""2.2.6"", ""python"": ""3.13.6"", ""zlib"": ""stdlib"", ""zstandard"": ""0.25.0""}",Windows-11-10.0.22631-SP0,65574,65562,66181,65600,65546,65540,65592,65580,66190,65620,65564,65559
control_null_near_relation_1flip,controls,results/controls/control_null_near_relation_1flip.json,near_relation_1flip,ac02159c631b4bc3e463a21f7dba494dcd6f3bef15b12b4ad3ad0b21c6a10c7e,8704,,e7af4dfbb9549afb64aac80c10821e8143067d6f-dirty,2026-08-29T15:23:44.862082+00:00,"{""control"": ""null"", ""tag"": ""near_relation_1flip""}",PASSTHROUGH,0,69632,0,8722,69632,0,112,0,32,0,144,69776,True,8708,8726,-18,-0.0020670647680293983,-18,True,"brotli11,bz2_9,gzip9,xz9,zlib9,zstd19","brotli11,bz2_9,gzip9,xz9,zlib9,zstd19",-14,True,full,True,6,raw_gap-14 no_deduction header_perturbation-18,"{""brotli"": ""1.2.0"", ""bz2"": ""stdlib"", ""gzip"": ""stdlib"", ""lzma"": ""stdlib"", ""numpy"": ""2.2.6"", ""python"": ""3.13.6"", ""zlib"": ""stdlib"", ""zstandard"": ""0.25.0""}",Windows-11-10.0.22631-SP0,8727,8715,9187,8764,8714,8708,8745,8733,9205,8784,8732,8726
control_null_shuffled_planted,controls,results/controls/control_null_shuffled_planted.json,shuffled_planted,26242f13b53356f97d6517e1c9daa304d52383500e3a61ee025035c7c4599cbd,16384,,e7af4dfbb9549afb64aac80c10821e8143067d6f-dirty,2026-08-29T15:23:44.473922+00:00,"{""control"": ""null"", ""tag"": ""shuffled_planted""}",PASSTHROUGH,0,131072,0,16402,131072,0,112,0,32,0,144,131216,True,16388,16406,-18,-0.001098364657066146,-18,True,"brotli11,bz2_9,gzip9,xz9,zlib9,zstd19","brotli11,bz2_9,gzip9,xz9,zlib9,zstd19",-14,True,full,True,6,raw_gap-14 no_deduction header_perturbation-18,"{""brotli"": ""1.2.0"", ""bz2"": ""stdlib"", ""gzip"": ""stdlib"", ""lzma"": ""stdlib"", ""numpy"": ""2.2.6"", ""python"": ""3.13.6"", ""zlib"": ""stdlib"", ""zstandard"": ""0.25.0""}",Windows-11-10.0.22631-SP0,16407,16395,16869,16444,16394,16388,16427,16415,16873,16464,16412,16406
control_positive_gf2_n1280_k32_p32_s902,controls,results/controls/control_positive_gf2_n1280_k32_p32_s902.json,gf2_n1280_k32_p32_s902,c78ca4eb1e539975d9aa8b76779a790da3ab91af027b14de14c2d22c1f4b97d6,10240,902,e7af4dfbb9549afb64aac80c10821e8143067d6f-dirty,2026-08-29T15:23:41.217560+00:00,"{""codec"": ""gf2"", ""control"": ""positive"", ""n_cols"": 64, ""n_info"": 32, ""n_parity"": 32, ""n_rows"": 1280, ""seed"": 902}",GF2,32,32,40960,5291,40960,1088,216,0,32,32,1368,42328,True,10244,5295,4949,0.48311206559937525,4949,True,"brotli11,bz2_9,gzip9,xz9,zlib9,zstd19","brotli11,bz2_9,gzip9,xz9,zlib9,zstd19",4953,True,full,True,6,raw_gap+4953 comp_gap+4949,"{""brotli"": ""1.2.0"", ""bz2"": ""stdlib"", ""gzip"": ""stdlib"", ""lzma"": ""stdlib"", ""numpy"": ""2.2.6"", ""python"": ""3.13.6"", ""zlib"": ""stdlib"", ""zstandard"": ""0.25.0""}",Windows-11-10.0.22631-SP0,10263,10251,10710,10300,10250,10244,5314,5302,5845,5352,5301,5295
control_positive_gf2_n4096_k32_p32_s12,controls,results/controls/control_positive_gf2_n4096_k32_p32_s12.json,gf2_n4096_k32_p32_s12,ddf23fa518129c14d6cdb1fed067de7cbf5aec8e8d2e2d3d762d53dd271f1615,32768,12,e7af4dfbb9549afb64aac80c10821e8143067d6f-dirty,2026-08-29T15:23:42.212160+00:00,"{""codec"": ""gf2"", ""control"": ""positive"", ""n_cols"": 64, ""n_info"": 32, ""n_parity"": 32, ""n_rows"": 4096, ""seed"": 12}",GF2,32,32,131072,16555,131072,1088,216,0,32,32,1368,132440,True,32772,16559,16213,0.49472110338093495,16213,True,"brotli11,bz2_9,gzip9,xz9,zlib9,zstd19","brotli11,bz2_9,gzip9,xz9,zlib9,zstd19",16217,True,full,True,6,raw_gap+16217 comp_gap+16213,"{""brotli"": ""1.2.0"", ""bz2"": ""stdlib"", ""gzip"": ""stdlib"", ""lzma"": ""stdlib"", ""numpy"": ""2.2.6"", ""python"": ""3.13.6"", ""zlib"": ""stdlib"", ""zstandard"": ""0.25.0""}",Windows-11-10.0.22631-SP0,32796,32784,33258,32828,32778,32772,16583,16571,17025,16616,16565,16559
control_positive_gf2_n8192_k48_p48_s777,controls,results/controls/control_positive_gf2_n8192_k48_p48_s777.json,gf2_n8192_k48_p48_s777,89e0d8c75a499985ee5ca382ac6faeb9cbf74b9b3f3b2276ddef43a14324fd0c,98304,777,e7af4dfbb9549afb64aac80c10821e8143067d6f-dirty,2026-08-29T15:23:42.967716+00:00,"{""codec"": ""gf2"", ""control"": ""positive"", ""n_cols"": 96, ""n_info"": 48, ""n_parity"": 48, ""n_rows"": 8192, ""seed"": 777}",GF2,48,48,393216,49487,393216,2400,216,0,32,32,2680,395896,True,98309,49491,48818,0.49657711908370544,48818,True,"brotli11,bz2_9,gzip9,xz9,zlib9,zstd19","brotli11,bz2_9,gzip9,xz9,zlib9,zstd19",48822,True,full,True,6,raw_gap+48822 comp_gap+48818,"{""brotli"": ""1.2.0"", ""bz2"": ""stdlib"", ""gzip"": ""stdlib"", ""lzma"": ""stdlib"", ""numpy"": ""2.2.6"", ""python"": ""3.13.6"", ""zlib"": ""stdlib"", ""zstandard"": ""0.25.0""}",Windows-11-10.0.22631-SP0,98352,98340,99108,98368,98316,98309,49525,49513,50054,49548,49497,49491
control_priorart_affine_fd,controls,results/controls/control_priorart_affine_fd.json,fd_affine_n8192_s21,4f6c208becf02ec8d4ea5c77a4c922362a5ed886b84b550d547b400518e30ec7,196608,21,e7af4dfbb9549afb64aac80c10821e8143067d6f-dirty,2026-08-29T15:23:52.583611+00:00,"{""control"": ""prior_art"", ""label"": ""FD_elimination"", ""prior_art"": true}",TABULAR_AFFINE,1,2,524288,131116,1048576,105,208,7,32,0,352,1048928,True,108208,70328,37880,0.35006653851840897,37880,True,"brotli11,bz2_9,gzip9,xz9,zlib9,zstd19","brotli11,bz2_9,gzip9,xz9,zlib9,zstd19",-22908,True,full,True,6,raw_gap-22908 comp_gap+37880,"{""brotli"": ""1.2.0"", ""bz2"": ""stdlib"", ""gzip"": ""stdlib"", ""lzma"": ""stdlib"", ""numpy"": ""2.2.6"", ""python"": ""3.13.6"", ""zlib"": ""stdlib"", ""zstandard"": ""0.25.0""}",Windows-11-10.0.22631-SP0,125378,125366,119570,108208,110898,120659,81991,81979,76187,70328,71283,77849
control_priorart_crc32_affine,controls,results/controls/control_priorart_crc32_affine.json,crc32_n4096_p4_s777,de72357e2f35c2a6da28156eecb043bd8b2a1fc14b3d6207217464e6f9c6803e,32768,777,e7af4dfbb9549afb64aac80c10821e8143067d6f-dirty,2026-08-29T15:23:53.112139+00:00,"{""control"": ""prior_art"", ""label"": ""checksum_inversion"", ""n_cols"": 64, ""prior_art"": true}",GF2,32,32,131072,16559,131072,1120,216,0,32,32,1400,132472,True,32772,16563,16209,0.49459904796777737,16209,True,"brotli11,bz2_9,gzip9,xz9,zlib9,zstd19","brotli11,bz2_9,gzip9,xz9,zlib9,zstd19",16213,True,full,True,6,raw_gap+16213 comp_gap+16209,"{""brotli"": ""1.2.0"", ""bz2"": ""stdlib"", ""gzip"": ""stdlib"", ""lzma"": ""stdlib"", ""numpy"": ""2.2.6"", ""python"": ""3.13.6"", ""zlib"": ""stdlib"", ""zstandard"": ""0.25.0""}",Windows-11-10.0.22631-SP0,32796,32784,33266,32828,32778,32772,16587,16575,17042,16620,16569,16563
control_sweep_phi0,controls,results/controls/control_sweep_phi0.json,corrupt_gf2_n4096_k32_p32_phi0_s433,86164b94fdbc398b84e51e3ca1ec3403505fa2bfbd1e1af62479f200b254f583,32768,433,e7af4dfbb9549afb64aac80c10821e8143067d6f-dirty,2026-08-29T15:23:45.438307+00:00,"{""control"": ""degradation"", ""flip_fraction"": 0.0, ""n_cols"": 64, ""n_flipped"": 0}",GF2,32,32,131072,16555,131072,1088,216,0,32,32,1368,132440,True,32772,16559,16213,0.49472110338093495,16213,True,"brotli11,bz2_9,gzip9,xz9,zlib9,zstd19","brotli11,bz2_9,gzip9,xz9,zlib9,zstd19",16217,True,full,True,6,raw_gap+16217 comp_gap+16213,"{""brotli"": ""1.2.0"", ""bz2"": ""stdlib"", ""gzip"": ""stdlib"", ""lzma"": ""stdlib"", ""numpy"": ""2.2.6"", ""python"": ""3.13.6"", ""zlib"": ""stdlib"", ""zstandard"": ""0.25.0""}",Windows-11-10.0.22631-SP0,32796,32784,33259,32828,32778,32772,16583,16571,17006,16616,16565,16559
