experiment_id,phase,dataset_id,dataset_sha256,dataset_bytes,codec_kind,n_relations,n_independent,recovered_bits,total_encoded_bytes,payload_bits,relation_description_bits,header_bits,framing_bits,crc_bits,roundtrip_ok,encode_seconds,decode_seconds,discovery_seconds,best_baseline_bytes,deduction_gap_bytes,composition_gap_bytes,verdict,git_commit,utc_timestamp,seed,baseline_gzip9_bytes,baseline_gzip9_seconds,baseline_zlib9_bytes,baseline_zlib9_seconds,baseline_bz2_9_bytes,baseline_bz2_9_seconds,baseline_xz9_bytes,baseline_xz9_seconds,baseline_zstd19_bytes,baseline_zstd19_seconds,baseline_brotli11_bytes,baseline_brotli11_seconds
phase1_gf2_n1024_k16_p16_s11,phase1,gf2_n1024_k16_p16_s11,c468bb9cfe40dcd25f219d99103b58d51401ea5f7e89b8b15adbab11f90568ef,4096,GF2,16,16,16384,2118,16384,288,208,0,32,True,0.06064049998531118,0.0277566000004299,0.06064049998531118,4100,1982,1978,raw_gap+1982 comp_gap+1978,UNCOMMITTED,2026-08-29T08:46:14.045322+00:00,11,4119,0.0006863000162411481,4107,0.00011679998715408146,4609,0.0040391999937128276,4156,0.08895859998301603,4106,0.002277100022183731,4100,0.02826309998636134
phase1_gf2_n4096_k32_p32_s12,phase1,gf2_n4096_k32_p32_s12,ddf23fa518129c14d6cdb1fed067de7cbf5aec8e8d2e2d3d762d53dd271f1615,32768,GF2,32,32,131072,16554,131072,1088,208,0,32,True,0.5242448000062723,0.47320680000120774,0.5242448000062723,32772,16218,16214,raw_gap+16218 comp_gap+16214,UNCOMMITTED,2026-08-29T08:46:17.168369+00:00,12,32796,0.0025738000113051385,32784,0.0023811999999452382,33258,0.0254197999893222,32828,0.1366050000069663,32778,0.10760540000046603,32772,0.26348130000405945
phase1_gf2_n16384_k32_p32_s13,phase1,gf2_n16384_k32_p32_s13,d57a867e3b23c41acac142802c60eb6c8a20782182a94e4c8e0ed1f9d2b40415,131072,GF2,32,32,524288,65706,524288,1088,208,0,32,True,3.9633665999863297,1.7482087999815121,3.9633665999863297,131077,65371,65366,raw_gap+65371 comp_gap+65366,UNCOMMITTED,2026-08-29T08:46:25.646635+00:00,13,131130,0.024832900002365932,131118,0.03530369998770766,132046,0.09446190000744537,131140,0.23903169998084195,131084,0.28869200000190176,131077,0.21725059999153018
phase1_gf2_n65536_k64_p64_s14,phase1,gf2_n65536_k64_p64_s14,9e300c474c1358cce32559616193d51a5d8fdcd9715bd671928dc42c7dd09e09,1048576,GF2,64,64,4194304,524850,4194304,4224,208,0,32,True,26.19651249999879,14.45159350000904,26.19651249999879,1048581,523731,523726,raw_gap+523731 comp_gap+523726,UNCOMMITTED,2026-08-29T08:47:27.148587+00:00,14,1048914,0.2684268999728374,1048902,0.3502052000258118,1053721,1.1352017000026535,1048688,1.2469449999916833,1048609,1.2868659000087064,1048581,3.152308799995808
phase1_fd_affine_n8192_s21,phase1,fd_affine_n8192_s21,4f6c208becf02ec8d4ea5c77a4c922362a5ed886b84b550d547b400518e30ec7,196608,TABULAR_AFFINE,1,2,524288,131116,1048576,105,208,7,32,True,0.5142133999906946,0.43652219997602515,0.5142133999906946,108208,-22908,37880,raw_gap-22908 comp_gap+37880,UNCOMMITTED,2026-08-29T08:47:38.435403+00:00,21,125378,1.3503870000131428,125366,1.6370678000093903,119570,0.19002340000588447,108208,0.36822010000469163,110898,0.9677375000028405,120659,2.726931599987438
phase1_fd_xor_plus_n4096_s22,phase1,fd_xor_plus_n4096_s22,87f46e95fa75542cbc2757965e9bfa54facc9300e79c11516d62389c35ca8982,98304,PASSTHROUGH,0,786432,0,98322,786432,0,112,0,32,True,0.3379529999801889,0.0956552000134252,0.3379529999801889,52992,-45330,-4,raw_gap-45330 comp_gap-4,UNCOMMITTED,2026-08-29T08:47:46.029638+00:00,22,60374,0.5659310999908485,60362,0.8051409999898169,56654,0.0664284999947995,52992,0.45877420000033453,54955,0.38555259999702685,58015,1.5799836999794934
phase1_intlin_n8192_x1_s31,phase1,intlin_n8192_x1_s31,457e7c4be845e80bb93ba18e72c6eeae01555fcf1b5f624eb763da9aeb737c8e,262144,TABULAR_AFFINE,1,3,524288,196654,1572864,121,208,7,32,True,1.2593985999992583,1.4480554000183474,1.2593985999992583,142032,-54622,36680,raw_gap-54622 comp_gap+36680,UNCOMMITTED,2026-08-29T08:48:03.090161+00:00,31,164485,2.1351167999964673,164473,1.8738475999853108,156352,0.13688249999540858,142032,0.5323959999950603,152437,0.4904779000207782,158498,2.799998200003756
phase1_noise_bits_n8192_c64_s41,phase1,noise_bits_n8192_c64_s41,07ef8ee9642204bf5345ca068ae82bd7bf9eb39e6c835083396842e73f9b320a,65536,PASSTHROUGH,0,524288,0,65554,524288,0,112,0,32,True,9.853606599994237,0.06780809999327175,9.853606599994237,65540,-14,-19,raw_gap-14 comp_gap-19,UNCOMMITTED,2026-08-29T08:48:14.219121+00:00,41,65574,0.0018044000025838614,65562,0.005629199993563816,66181,0.016146799986017868,65600,0.11379579998902045,65546,0.07415659999242052,65540,0.12891890000901185
phase1_noise_table_n2048_c4_s42,phase1,noise_table_n2048_c4_s42,98e907bc2babd90c8108af2d60e168db5b619af3c454736790d13c9d3dfd53e3,65536,PASSTHROUGH,0,524288,0,65554,524288,0,112,0,32,True,0.22037850000197068,0.09774120000656694,0.22037850000197068,35380,-30174,-24,raw_gap-30174 comp_gap-24,UNCOMMITTED,2026-08-29T08:48:19.094944+00:00,42,40261,0.2578446000115946,40249,0.29344249999849126,38055,0.03393889998551458,35380,0.17530569998780265,36881,0.26342380000278354,37984,1.1353583000018261
phase1_near_gf2_n4096_k16_flips1_s51,phase1,near_gf2_n4096_k16_flips1_s51,ac02159c631b4bc3e463a21f7dba494dcd6f3bef15b12b4ad3ad0b21c6a10c7e,8704,GF2,0,17,0,8741,69632,17,208,7,32,True,0.29558529998757876,0.10325119999470189,0.29558529998757876,8708,-33,-37,raw_gap-33 comp_gap-37,UNCOMMITTED,2026-08-29T08:48:21.215078+00:00,51,8727,0.0002164000179618597,8715,0.0001269000058528036,9187,0.0021948000066913664,8764,0.04755069999373518,8714,0.005606300022918731,8708,0.04474310000659898
