experiment_id,phase,dataset_id,dataset_sha256,dataset_bytes,codec_kind,n_relations,n_independent,recovered_bits,total_encoded_bytes,payload_bits,relation_description_bits,header_bits,framing_bits,crc_bits,roundtrip_ok,encode_seconds,decode_seconds,discovery_seconds,best_baseline_bytes,deduction_gap_bytes,composition_gap_bytes,verdict,git_commit,utc_timestamp,seed,baseline_gzip9_bytes,baseline_gzip9_seconds,baseline_zlib9_bytes,baseline_zlib9_seconds,baseline_bz2_9_bytes,baseline_bz2_9_seconds,baseline_xz9_bytes,baseline_xz9_seconds,baseline_zstd19_bytes,baseline_zstd19_seconds,baseline_brotli11_bytes,baseline_brotli11_seconds
phase4_scaling_gf2_n128_k32_p32_s901,phase4,gf2_n128_k32_p32_s901,73f53fb6064325fa48e7b380f80b062625763041368fd8719af9885fe6c8ba35,1024,GF2,32,32,4096,683,4096,1088,216,0,32,True,0.6014841000142042,0.05138659998192452,0.6014841000142042,1028,345,343,raw_gap+345 comp_gap+343,aea7e6c079bc54aa2fa4dd95815dd107e0bc050d-dirty,2026-08-29T10:00:14.074505+00:00,901,1047,0.0003949000092688948,1035,0.0001120000088121742,1344,0.0009654999885242432,1084,0.44755240000085905,1034,0.00024629998370073736,1028,0.3795390999875963
phase4_scaling_gf2_n1280_k32_p32_s902,phase4,gf2_n1280_k32_p32_s902,c78ca4eb1e539975d9aa8b76779a790da3ab91af027b14de14c2d22c1f4b97d6,10240,GF2,32,32,40960,5291,40960,1088,216,0,32,True,1.9375364999868907,0.8360016999940854,1.9375364999868907,10244,4953,4949,raw_gap+4953 comp_gap+4949,aea7e6c079bc54aa2fa4dd95815dd107e0bc050d-dirty,2026-08-29T10:00:46.928922+00:00,902,10263,0.0004364000051282346,10251,0.00028360000578686595,10710,0.005808999994769692,10300,1.193866000015987,10250,0.010205500002484769,10244,0.03922080001211725
phase4_scaling_gf2_n12800_k32_p32_s903,phase4,gf2_n12800_k32_p32_s903,8dc9f5e95802607fa0b48cf2c000860aebddda74138037c5f5d05bc1082694c2,102400,GF2,32,32,409600,51371,409600,1088,216,0,32,True,22.327529799978947,11.202603199984878,22.327529799978947,102405,51034,51030,raw_gap+51034 comp_gap+51030,aea7e6c079bc54aa2fa4dd95815dd107e0bc050d-dirty,2026-08-29T10:01:58.283434+00:00,903,102453,0.4950739999767393,102441,0.005579199991188943,103236,0.765894100011792,102464,1.150388500012923,102412,0.9646076000062749,102405,2.0107736000209115
phase4_scaling_gf2_n128_k32_p32_s901,phase4,gf2_n128_k32_p32_s901,73f53fb6064325fa48e7b380f80b062625763041368fd8719af9885fe6c8ba35,1024,GF2,32,32,4096,683,4096,1088,216,0,32,True,0.4313110999937635,0.010006099997553974,0.4313110999937635,1028,345,343,raw_gap+345 comp_gap+343,aea7e6c079bc54aa2fa4dd95815dd107e0bc050d-dirty,2026-08-29T10:02:21.319440+00:00,901,1047,0.00038809998659417033,1035,0.00011289998656138778,1344,0.0009482000023126602,1084,1.2158752999966964,1034,0.00036949999048374593,1028,0.006912399985594675
phase4_scaling_gf2_n1280_k32_p32_s902,phase4,gf2_n1280_k32_p32_s902,c78ca4eb1e539975d9aa8b76779a790da3ab91af027b14de14c2d22c1f4b97d6,10240,GF2,32,32,40960,5291,40960,1088,216,0,32,True,1.9262420000159182,1.0990936000016518,1.9262420000159182,10244,4953,4949,raw_gap+4953 comp_gap+4949,aea7e6c079bc54aa2fa4dd95815dd107e0bc050d-dirty,2026-08-29T10:03:03.329099+00:00,902,10263,0.00046790001215413213,10251,0.0002857999934349209,10710,0.00798129997565411,10300,0.8033428000053391,10250,0.0017064999847207218,10244,0.5830078000144567
phase4_scaling_gf2_n32000_k32_p32_s904,phase4,gf2_n32000_k32_p32_s904,cf4abb5ce3549c0bb9ec84d7c4091c844fcc95cbc0423bc7897717ad0a94a7cf,256000,GF2,32,32,1024000,128171,1024000,1088,216,0,32,True,41.609194400021806,25.28258940001251,41.609194400021806,256005,127834,127829,raw_gap+127834 comp_gap+127829,aea7e6c079bc54aa2fa4dd95815dd107e0bc050d-dirty,2026-08-29T10:03:57.055878+00:00,904,256098,0.018590199993923306,256086,0.47301379998680204,257561,1.9530374000023585,256072,1.4736229000263847,256015,1.945440299983602,256005,4.919251699990127
phase4_scaling_gf2_n12800_k32_p32_s903,phase4,gf2_n12800_k32_p32_s903,8dc9f5e95802607fa0b48cf2c000860aebddda74138037c5f5d05bc1082694c2,102400,GF2,32,32,409600,51371,409600,1088,216,0,32,True,23.07833080002456,11.719254299998283,23.07833080002456,102405,51034,51030,raw_gap+51034 comp_gap+51030,aea7e6c079bc54aa2fa4dd95815dd107e0bc050d-dirty,2026-08-29T10:04:30.860606+00:00,903,102453,0.04310609999811277,102441,0.0049307000008411705,103236,0.731462299998384,,,102412,2.010392199998023,102405,1.1119677000097
phase4_scaling_gf2_affine_parity_n1280_k32_s910_homogeneous,phase4,gf2_affine_parity_n1280_k32_s910,098c5289141b45c3c1f8579449d3ab1961df0f8b7da42bff424d905b8305770c,5280,PASSTHROUGH,0,42240,0,5298,42240,0,112,0,32,True,0.017088099993998185,0.010967100010020658,0.017088099993998185,5284,-14,-18,raw_gap-14 no_deduction header_perturbation-18,aea7e6c079bc54aa2fa4dd95815dd107e0bc050d-dirty,2026-08-29T10:04:42.545588+00:00,910,5303,0.00039289999403990805,5291,0.0001720000000204891,5780,0.5827688999997918,,,5290,0.003882000019075349,5284,0.04165420000208542
phase4_scaling_gf2_affine_parity_n1280_k32_s910_affine,phase4,gf2_affine_parity_n1280_k32_s910,098c5289141b45c3c1f8579449d3ab1961df0f8b7da42bff424d905b8305770c,5280,GF2,1,32,1280,5164,40960,66,216,6,32,True,2.394882900000084,1.1573756000143476,2.394882900000084,5284,120,116,raw_gap+120 comp_gap+116,aea7e6c079bc54aa2fa4dd95815dd107e0bc050d-dirty,2026-08-29T10:05:45.959610+00:00,910,5303,0.005090199992991984,5291,0.00037850000080652535,5780,0.005690399993909523,,,5290,0.009836199984420091,5284,0.030827100010355935
phase4_scaling_gf2_n32000_k32_p32_s904,phase4,gf2_n32000_k32_p32_s904,cf4abb5ce3549c0bb9ec84d7c4091c844fcc95cbc0423bc7897717ad0a94a7cf,256000,GF2,32,32,1024000,128171,1024000,1088,216,0,32,True,51.66852080001263,32.15300029999344,51.66852080001263,256005,127834,127829,raw_gap+127834 comp_gap+127829,aea7e6c079bc54aa2fa4dd95815dd107e0bc050d-dirty,2026-08-29T10:06:40.479621+00:00,904,256098,0.4138974999950733,256086,0.06472040002699941,257561,1.717194400000153,256072,2.0299339999910444,256015,1.5383888999931514,256005,5.075546800013399
