experiment_id,phase,dataset_id,dataset_sha256,dataset_bytes,codec_kind,n_relations,n_independent,recovered_bits,total_encoded_bytes,payload_bits,relation_description_bits,header_bits,framing_bits,crc_bits,roundtrip_ok,encode_seconds,decode_seconds,discovery_seconds,best_baseline_bytes,deduction_gap_bytes,composition_gap_bytes,verdict,git_commit,utc_timestamp,seed,baseline_gzip9_bytes,baseline_gzip9_seconds,baseline_zlib9_bytes,baseline_zlib9_seconds,baseline_bz2_9_bytes,baseline_bz2_9_seconds,baseline_xz9_bytes,baseline_xz9_seconds,baseline_zstd19_bytes,baseline_zstd19_seconds,baseline_brotli11_bytes,baseline_brotli11_seconds
phase4_silesia_ooffice_p512000,phase4_silesia,silesia_ooffice_prefix_512000,dee624c889febeebcc4712ceee0006cd4a6bc044119584ba566980e529df2325,512000,PASSTHROUGH,0,4096000,0,512018,4096000,0,112,0,32,True,91.2791586999956,3.8523767999722622,91.2791586999956,238012,-274006,-20,raw_gap-274006 no_deduction header_perturbation-20,2a4733c8e72b0657f50c6bc9767237162c6be7db-dirty,2026-08-29T11:09:53.830986+00:00,,282840,0.3752841000095941,282828,0.431828000000678,252746,0.6521524999989197,238012,3.179114800004754,251102,2.079491699987557,241971,17.440727400011383
phase4_silesia_dickens_p512000,phase4_silesia,silesia_dickens_prefix_512000,3d2b8a388908b800ded23f8d2f6b3e181c9951fef6039649acd04d51ccd462f6,512000,GF2,1,31,128000,496043,3968000,63,216,1,32,True,236.74455289999605,14.767354500014335,236.74455289999605,140096,-355947,-114679,raw_gap-355947 comp_gap-114679,2a4733c8e72b0657f50c6bc9767237162c6be7db-dirty,2026-08-29T11:12:06.047769+00:00,,189030,0.1402541999996174,189018,0.2132463000016287,140096,0.13453540002228692,157680,0.9014835999987554,159503,0.8732862000179011,153774,5.402926200011279
phase4_silesia_x-ray_p512000,phase4_silesia,silesia_x-ray_prefix_512000,34d420201364c7b288ae907f72cf850e42c35bcff9ba5184c37030ec8e2e752c,512000,GF2,4,60,256000,480073,3840000,304,216,0,32,True,244.1116955000034,15.503616500005592,244.1116955000034,240711,-239362,-75917,raw_gap-239362 comp_gap-75917,2a4733c8e72b0657f50c6bc9767237162c6be7db-dirty,2026-08-29T11:12:09.297560+00:00,,347306,0.09320390000357293,347294,0.1152726000000257,240711,0.1291897000046447,260404,0.5030941000150051,311080,0.42738969999481924,281980,8.618488800013438
phase4_silesia_xml_p512000,phase4_silesia,silesia_xml_prefix_512000,1ae008042047777d47732811e4baef57ac075ee6d39a55d0cee925539fab9fc8,512000,GF2,1,7,512000,448037,3584000,15,216,1,32,True,338.88720480000484,9.457030200021109,338.88720480000484,15438,-432599,-24245,raw_gap-432599 comp_gap-24245,2a4733c8e72b0657f50c6bc9767237162c6be7db-dirty,2026-08-29T11:13:09.810394+00:00,,23240,0.06470380001701415,23228,0.037966799980495125,15438,0.19521200002054684,17760,0.22080559999449179,17277,0.6859438999963459,15734,1.8166028000123333
phase4_silesia_mozilla_p512000,phase4_silesia,silesia_mozilla_prefix_512000,8d9f453bbfc0e76473a247cecdba2895508d639caf70b5d66a20d43e5ea6d946,512000,PASSTHROUGH,0,4096000,0,512018,4096000,0,112,0,32,True,14.186899799999082,1.5089486000069883,14.186899799999082,351104,-160914,-149,raw_gap-160914 no_deduction header_perturbation-149,c50c71ef25b848656c26732f25d7206482f77e93-dirty,2026-08-29T11:19:39.515740+00:00,,361878,0.09145279999938793,361866,0.08631310000782833,366915,0.30608460001531057,354780,0.49555679998593405,353980,0.507711999991443,351104,3.4557353999989573
phase4_silesia_mr_p512000,phase4_silesia,silesia_mr_prefix_512000,cb9f37f22f8b8df7defee90d87b43b9ccc77377548f710d5471bcb5693e78bc1,512000,PASSTHROUGH,0,4096000,0,512018,4096000,0,112,0,32,True,15.040970899979584,1.383789199986495,15.040970899979584,114134,-397884,-78,raw_gap-397884 no_deduction header_perturbation-78,c50c71ef25b848656c26732f25d7206482f77e93-dirty,2026-08-29T11:19:41.435053+00:00,,169225,0.38763370001106523,169213,0.3061438000004273,114134,0.12016510000103153,129152,0.41951060001156293,149601,0.37755490001291037,133181,3.3062713999825064
phase4_silesia_sao_p512000,phase4_silesia,silesia_sao_prefix_512000,b935d05cfbae38ea362bf3f5b87b315856ac1ccda5f7675bb6a9dc460b34a853,512000,PASSTHROUGH,0,4096000,0,512018,4096000,0,112,0,32,True,16.99492680002004,0.8649322999990545,16.99492680002004,322844,-189174,-20,raw_gap-189174 no_deduction header_perturbation-20,c50c71ef25b848656c26732f25d7206482f77e93-dirty,2026-08-29T11:19:44.384468+00:00,,381121,0.12162249998073094,381109,0.15773629999603145,352933,0.16364590000011958,322844,0.4519896999991033,363404,0.4090176000026986,334831,3.6496214999933727
phase4_silesia_nci_p512000,phase4_silesia,silesia_nci_prefix_512000,ee9bc47fe8fd6424b4f1169d83cb30215eabb9f576f725814100856898d59b4b,512000,GF2,1,7,512000,448037,3584000,15,216,1,32,True,73.38649919998716,2.4772623000026215,73.38649919998716,29853,-418184,-17833,raw_gap-418184 comp_gap-17833,c50c71ef25b848656c26732f25d7206482f77e93-dirty,2026-08-29T11:20:34.734850+00:00,,46955,0.04045949998544529,46943,0.04306100000394508,29853,0.07023999997181818,33444,0.1501871999935247,34026,0.32688840001355857,31670,1.4787307000078727
phase4_silesia_osdb_p512000,phase4_silesia,silesia_osdb_prefix_512000,2ae96b921a069a885b5f42a4962eb549bd8ce0c9adae4a5905840597693fa38c,512000,PASSTHROUGH,0,4096000,0,512018,4096000,0,112,0,32,True,17.82861500000581,0.7954239000100642,17.82861500000581,148688,-363330,-67,raw_gap-363330 no_deduction header_perturbation-67,3029ca42afa94a00d5b62447b6f43afbe729f7bb-dirty,2026-08-29T11:50:03.826375+00:00,,189301,0.053162199998041615,189289,0.04187300000921823,148688,0.08671020000474527,158328,0.4015248000214342,172583,0.4110985999868717,157470,2.4831724999821745
phase4_silesia_reymont_p512000,phase4_silesia,silesia_reymont_prefix_512000,25c23984331e6d273c2f8d36fcfcc6f2a9d2f12c6b47885a93347cd7ec9139cc,512000,GF2,1,7,512000,448037,3584000,15,216,1,32,True,114.54161720001139,6.1198753000062425,114.54161720001139,98623,-349414,-38291,raw_gap-349414 comp_gap-38291,3029ca42afa94a00d5b62447b6f43afbe729f7bb-dirty,2026-08-29T11:52:12.278257+00:00,,140746,0.20719539999845438,140734,0.24747790000401437,98623,0.08045579999452457,116508,0.6051605999819003,118921,0.529423100000713,116968,2.1298833999899216
phase4_silesia_samba_p512000,phase4_silesia,silesia_samba_prefix_512000,6e9b57c7fadb54664bcd829e1e412f95d143cc31740c17b692142149979b1f29,512000,PASSTHROUGH,0,4096000,0,512018,4096000,0,112,0,32,True,11.261334200011333,0.8402971999894362,11.261334200011333,206199,-305819,-133,raw_gap-305819 no_deduction header_perturbation-133,3029ca42afa94a00d5b62447b6f43afbe729f7bb-dirty,2026-08-29T11:52:32.530951+00:00,,227999,0.0624062999850139,227987,0.06720570000470616,223213,0.10190129998954944,210892,0.5306751999887638,214927,0.43817189999390393,206199,2.4134653999935836
phase4_silesia_webster_p512000,phase4_silesia,silesia_webster_prefix_512000,3fea5bf1be677cafbb4ac2b1d510cb728902d7d161631bb0b9d4b5af73898a22,512000,GF2,1,7,512000,448037,3584000,15,216,1,32,True,110.5620273000095,15.367796800012002,110.5620273000095,110460,-337577,-59085,raw_gap-337577 comp_gap-59085,3029ca42afa94a00d5b62447b6f43afbe729f7bb-dirty,2026-08-29T11:54:57.749836+00:00,,148926,0.2824452000204474,148914,0.4951225999975577,110460,0.4259461000037845,125852,1.5181986000097822,127618,2.602676500013331,120443,5.14105269999709
